+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0066      | 0.16          | 4.82         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0059      | 0.14          | 4.31         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0053      | 0.13          | 3.87         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0047      | 0.11          | 3.43         |
| t1.micro            | 1    | i386       | 0.6      | None      | N/A          | N/A           | N/A          |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0132      | 0.32          | 9.64         |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0118      | 0.28          | 8.62         |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0106      | 0.25          | 7.74         |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0094      | 0.23          | 6.87         |
| m1.small            | 1    | i386       | 1.7      | 160       | N/A          | N/A           | N/A          |
| c1.medium           | 2    | i386       | 1.7      | 350       | N/A          | N/A           | N/A          |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0404      | 0.97          | 29.51        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.046       | 1.1           | 33.61        |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.05125     | 1.23          | 37.44        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      | N/A          | N/A           | N/A          |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0429      | 1.03          | 31.34        |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.026       | 0.62          | 18.99        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0236      | 0.57          | 17.24        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0212      | 0.51          | 15.49        |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0188      | 0.45          | 13.73        |
| m1.medium           | 1    | i386       | 3.7      | 410       | N/A          | N/A           | N/A          |
| m3.medium           | 1    | x86_64     | 3.8      | 4         | N/A          | N/A           | N/A          |
| c3.large            | 2    | i386       | 3.8      | 32        | N/A          | N/A           | N/A          |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.119       | 2.86          | 86.94        |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.0444      | 1.07          | 32.44        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0524      | 1.26          | 38.28        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0472      | 1.13          | 34.48        |
